group_by,group,dimension,country,component,count,mean_delta,mean_pct,expansion_share,contraction_share
strategy,recycling_support,country_activity_output,M,bread_m,8695,6.537483480253941e-18,2.614993392101584e-19,0.0,0.0
strategy,recycling_support,country_activity_output,M,virgin_material_m,8695,-0.1911994631307061,-0.004817670104464207,0.24358826912018403,0.4679700977573318
strategy,recycling_support,country_activity_output,C,bread_c,8695,-4.736613513965753,-0.027555975099730623,0.15112133410005751,0.5983898792409431
strategy,recycling_support,country_activity_output,C,recycled_material_c,8695,-0.18298232692562746,-0.012426805090927613,0.12880966072455435,0.6207015526164462
strategy,recycling_support,country_activity_output,C,new_production_c,8695,2.427375464305196,0.023714007547145213,0.5166187464059805,0.23289246693502014
strategy,recycling_support,country_activity_output,C,refurbishment_c,8695,-3.9091573529908845,-0.11285168425332573,0.1311098332374928,0.6184013801035078
strategy,recycling_support,country_activity_output,C,repair_c,8695,-4.620194286965745,-0.1540822448415463,0.0,0.7495112133410006
strategy,recycling_support,country_activity_output,C,reuse_c,8695,-4.54025176499433,-0.1514174427856798,0.0,0.7495112133410006
strategy,refurbishment_support,country_activity_output,M,bread_m,8695,4.085927175158713e-18,1.6343708700634922e-19,0.0,0.0
strategy,refurbishment_support,country_activity_output,M,virgin_material_m,8695,-0.1335296585241954,-0.0033252837234867025,0.41207590569292696,0.33433007475560667
strategy,refurbishment_support,country_activity_output,C,bread_c,8695,-6.789425725181179,-0.03919087516589962,0.07774583093732029,0.6717653824036802
strategy,refurbishment_support,country_activity_output,C,recycled_material_c,8695,-2.0786202619742924,-0.14100721382469222,0.08142610695802185,0.6680851063829787
strategy,refurbishment_support,country_activity_output,C,new_production_c,8695,-7.5301476396636895,-0.07391046069119843,0.00034502587694077054,0.7491661874640598
strategy,refurbishment_support,country_activity_output,C,refurbishment_c,8695,5.031723966863701,0.15410593275555945,0.6343875790684301,0.11512363427257044
strategy,refurbishment_support,country_activity_output,C,repair_c,8695,-4.644157403809079,-0.1548823518544087,0.0,0.7495112133410006
strategy,refurbishment_support,country_activity_output,C,reuse_c,8695,-4.544284537519575,-0.1515519830375965,0.0,0.7495112133410006
strategy,virgin_material_tax,country_activity_output,M,bread_m,8682,8.59329500746493e-18,3.4373180029859774e-19,0.0,0.0
strategy,virgin_material_tax,country_activity_output,M,virgin_material_m,8682,-1.0135478249497136,-0.02551216016477727,0.16689702833448514,0.5680718728403593
strategy,virgin_material_tax,country_activity_output,C,bread_c,8682,3.8863440276732573,0.021938238911018027,0.4972356599861783,0.2519004837595024
strategy,virgin_material_tax,country_activity_output,C,recycled_material_c,8682,-0.8330232993782217,-0.05658472611409474,0.25259156876295785,0.48410504492052525
strategy,virgin_material_tax,country_activity_output,C,new_production_c,8682,-6.302284521853438,-0.062248817693935976,0.024187975120939877,0.7246026261230132
strategy,virgin_material_tax,country_activity_output,C,refurbishment_c,8682,-0.5653202011549432,-0.01654905302499834,0.19246717346233586,0.5283344851416725
strategy,virgin_material_tax,country_activity_output,C,repair_c,8682,-2.652242480329315,-0.08847385571354656,0.1046993780234969,0.6212854181064271
strategy,virgin_material_tax,country_activity_output,C,reuse_c,8682,-0.32875367418826906,-0.010957773307175803,0.19557705597788527,0.5190048375950241
