strategy,parameter,level,count,dominant_transmission,dominant_count,dominant_share,material_saving_share,rebound_share,upstream_contraction_share,mean_pct_virgin_use,mean_pct_toaster_service,mean_upstream_output_reduction_m,mean_circular_activity_gain_c
virgin_material_tax,sigma_routes,1.25,2916,upstream_contraction_with_service_contraction,1188,0.4074074074074074,0.4444444444444444,0.0,0.4444444444444444,-0.023304371010566746,-0.05111281685194174,0.9221347619994962,-4.511078518068951
virgin_material_tax,sigma_routes,2.0,2901,upstream_contraction_with_service_contraction,1374,0.4736297828335057,0.5563598759048604,0.023784901758014478,0.5563598759048604,-0.02524014585712582,-0.05070930482416453,1.0026228429656685,-4.329065965074012
virgin_material_tax,sigma_routes,3.0,2865,upstream_contraction_with_service_contraction,1629,0.5685863874345549,0.7057591623036649,0.028272251308900525,0.7057591623036649,-0.028034682566234422,-0.051062459131487145,1.117650395385507,-4.2961611035887755
virgin_material_tax,sigma_metal,1.25,2916,upstream_contraction_with_service_contraction,1410,0.4835390946502058,0.5699588477366255,0.01646090534979424,0.5699588477366255,-0.02919725960173814,-0.050789934401664315,1.1602280478627571,-4.246150221538642
virgin_material_tax,sigma_metal,2.0,2898,upstream_contraction_with_service_contraction,1401,0.4834368530020704,0.5693581780538303,0.018633540372670808,0.5693581780538303,-0.025604584184238343,-0.05062814566567097,1.0172121585475944,-4.339259429981001
virgin_material_tax,sigma_metal,3.0,2868,upstream_contraction_with_service_contraction,1380,0.4811715481171548,0.5648535564853556,0.016736401673640166,0.5648535564853556,-0.021671994625524802,-0.05147238416754062,0.8607100394611868,-4.555257674706759
virgin_material_tax,sigma_eol,0.5,2894,upstream_contraction_with_service_contraction,1397,0.4827228749136144,0.5680718728403593,0.017277125086385625,0.5680718728403593,-0.02551216016477727,-0.05096136980498435,1.0135478249497134,-4.3793396550507495
virgin_material_tax,sigma_eol,2.0,2894,upstream_contraction_with_service_contraction,1397,0.4827228749136144,0.5680718728403593,0.017277125086385625,0.5680718728403593,-0.02551216016477727,-0.050961369804984356,1.0135478249497136,-4.3793396550507495
virgin_material_tax,sigma_eol,4.0,2894,upstream_contraction_with_service_contraction,1397,0.4827228749136144,0.5680718728403593,0.017277125086385625,0.5680718728403593,-0.02551216016477727,-0.050961369804984336,1.0135478249497136,-4.3793396550507495
virgin_material_tax,eta_service,0.5,2916,upstream_contraction_with_service_contraction,1071,0.36728395061728397,0.5432098765432098,0.051440329218107,0.5432098765432098,-0.00015560794425761274,-0.012684799994475287,0.0062263820063772615,-0.45890063922533125
virgin_material_tax,eta_service,1.0,2850,upstream_contraction_with_service_contraction,1095,0.38421052631578945,0.46421052631578946,0.0,0.46421052631578946,0.0017749864724676393,-0.04648812536740908,-0.0698220762415788,-2.7134480510793635
virgin_material_tax,eta_service,1.5,2916,upstream_contraction_with_service_contraction,2025,0.6944444444444444,0.6944444444444444,0.0,0.6944444444444444,-0.07753824870770708,-0.09360993777979022,3.0797184511561437,-9.927964909325569
