strategy,count,material_saving_share,rebound_share,upstream_contraction_share,mean_pct_virgin_use,mean_pct_toaster_service,mean_pct_virgin_metal_m,mean_upstream_output_reduction_m,mean_upstream_factor_reduction_m,mean_circular_activity_gain_c,mean_government_net,mean_support_cost,mean_virgin_saving_per_support_dollar
virgin_material_tax,8682,0.5680718728403593,0.017277125086385625,0.5680718728403593,-0.02551216016477727,-0.05096136980498434,-0.02551216016477727,1.0135478249497136,0.7516186566550411,-4.3793396550507495,8.045271053304711,2.740943669884759e-42,
refurbishment_support,8695,0.33433007475560667,0.08660149511213341,0.33433007475560667,-0.0033252837234867007,-0.06459213008516408,-0.0033252837234867025,0.1335296585241954,0.09942559080761845,-6.235338236439246,-9.051071454236732,9.051071454236732,0.013318080356466956
recycling_support,8695,0.4679700977573318,0.0,0.4679700977573318,-0.004817670104464208,-0.06456190225021165,-0.004817670104464207,0.1911994631307061,0.1427605717100743,-13.252585731876586,-4.567576199918617,4.567576199918617,0.047053837736455634
