strategy,transmission,count,share_within_strategy,material_saving_share,rebound_share,mean_pct_virgin_use,mean_pct_toaster_service,mean_upstream_output_reduction_m,mean_upstream_factor_reduction_m,mean_circular_activity_gain_c,mean_virgin_saving_per_support_dollar
virgin_material_tax,no_upstream_change,117,0.013476157567380787,0.0,0.7948717948717948,1.5668736679087382e-10,-0.0003507638652324259,-6.26749560512671e-9,-4.700621157273697e-9,-0.12640106493857436,
virgin_material_tax,reference,2184,0.2515549412577747,0.0,0.0,4.269422413694962e-13,6.819844750969766e-14,-1.7077689689743308e-11,-1.2808255067054464e-11,1.707741640407571e-11,
virgin_material_tax,upstream_contraction_with_circular_expansion,741,0.085348997926745,1.0,0.0,-0.002147867251040071,-0.01947069772866879,0.08591468831152295,0.06430415461100643,0.33391381324427455,
virgin_material_tax,upstream_contraction_with_service_contraction,4191,0.4827228749136144,1.0,0.0,-0.05510308397131404,-0.08906110663121784,2.1881599152115294,1.6233033864658553,-8.709376743284622,
virgin_material_tax,upstream_expansion,1392,0.1603317208016586,0.0,0.0,0.007925301331385618,-0.039312276927836724,-0.31222611376468007,-0.23373611895021984,-1.259389559269196,
virgin_material_tax,upstream_expansion_with_rebound,57,0.0065653075328265375,0.0,1.0,9.362243722749205e-9,1.9598868370658468e-8,-3.744897485914503e-7,-2.8086731275248225e-7,1.779025871927406e-6,
refurbishment_support,no_upstream_change,27,0.003105232892466935,0.0,0.6666666666666666,-9.188809036690905e-11,-0.060996209617285566,3.6755223062654192e-9,2.7570442390006737e-9,-5.821939036604961,1.2704717509320535e-9
refurbishment_support,reference,2178,0.25048878665899943,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,
refurbishment_support,upstream_contraction_with_circular_expansion,1596,0.18355376653248995,1.0,0.29448621553884713,-0.010915842450136031,-0.006730436700909608,0.4344994836784894,0.32518482692996525,2.911554906112144,0.0417566738401405
refurbishment_support,upstream_contraction_with_service_contraction,1311,0.15077630822311675,1.0,0.0,-0.019492054854825032,-0.05647719751210279,0.7789870328966128,0.5797719440011726,-5.543978033282035,0.06249154078319772
refurbishment_support,upstream_expansion,3318,0.38159861989649224,0.0,0.0,0.003388194868623353,-0.1438971635572699,-0.13357786408337485,-0.10001726538099333,-15.791864499973936,-0.011859807798769327
refurbishment_support,upstream_expansion_with_rebound,265,0.030477285796434734,0.0,1.0,0.010643003463262454,0.00849999307624502,-0.41683563124924716,-0.31212529748612716,3.621307058642945,-0.08462373392651845
recycling_support,no_upstream_change,330,0.03795284646348476,0.0,0.0,9.650965238603527e-11,-0.021151804554761927,-3.860386154849149e-9,-2.895187464852797e-9,-5.0211723466417775,-2.190955090878932e-9
recycling_support,reference,2178,0.25048878665899943,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,
recycling_support,upstream_contraction_with_circular_expansion,142,0.01633122484186314,1.0,0.0,-0.0020314714132225738,-0.007609568508991006,0.08125885511679673,0.06092421549058588,0.9895593720028962,0.015459830467728641
recycling_support,upstream_contraction_with_service_contraction,3927,0.45163887291546867,1.0,0.0,-0.010844403211307611,-0.0789697582952673,0.4303896023093571,0.32134218265026254,-14.87276159452938,0.0792812125530535
recycling_support,upstream_expansion,2118,0.24358826912018403,0.0,0.0,0.00046496636511714895,-0.11482098442338405,-0.018507739612848642,-0.013814361611301193,-26.11398900537425,-0.003249648900265346
