group_by,group,dimension,country,component,count,mean_delta,mean_pct,expansion_share,contraction_share
transmission,upstream_contraction_with_service_contraction,country_factor_use,C,refurbishment_factor_c,9429,-0.35030556220530373,-0.02031391733799838,0.47672075511719164,0.5232792448828083
transmission,upstream_contraction_with_service_contraction,country_factor_use,C,repair_factor_c,9429,-1.5650621694096585,-0.10395987667410404,0.2290804963410754,0.7709195036589246
transmission,upstream_contraction_with_service_contraction,country_factor_use,C,reuse_factor_c,9429,-0.062035663418064595,-0.006380860853368454,0.4201930215293244,0.5798069784706755
transmission,upstream_expansion,country_factor_use,M,factor_total_m,6828,0.06670393604584515,0.0010306945388419083,0.9822788517867604,0.0
transmission,upstream_expansion,country_factor_use,M,labor_m,6828,0.0331519900307577,0.001333544943525373,0.9557703573520797,0.0
transmission,upstream_expansion,country_factor_use,M,capital_m,6828,0.03355194601508734,0.0008417998032199862,0.9557703573520797,0.0
transmission,upstream_expansion,country_factor_use,M,virgin_material_factor_m,6828,0.10053848594106296,0.00254068259175572,0.9909197422378442,0.0
transmission,upstream_expansion,country_factor_use,C,factor_total_c,6828,-3.250535528960763,-0.011429674374222053,0.04745166959578207,0.9525483304042179
transmission,upstream_expansion,country_factor_use,C,labor_c,6828,-1.7307968523237898,-0.009907947148746873,0.04745166959578207,0.9525483304042179
transmission,upstream_expansion,country_factor_use,C,capital_c,6828,-1.5197386766369727,-0.013852704782375673,0.04745166959578207,0.9525483304042179
transmission,upstream_expansion,country_factor_use,C,recycling_factor_c,6828,3.1585744185141484,0.5871839948669136,0.9641183362624487,0.03588166373755126
transmission,upstream_expansion,country_factor_use,C,refurbishment_factor_c,6828,3.4992956260641477,0.1997198156321434,0.7226127709431751,0.27738722905682484
transmission,upstream_expansion,country_factor_use,C,repair_factor_c,6828,-0.3527611503209306,-0.024852692201623148,0.29598711189220855,0.7040128881077915
transmission,upstream_expansion,country_factor_use,C,reuse_factor_c,6828,1.1710786372720645,0.11007498154297664,0.48125366139425896,0.518746338605741
transmission,upstream_expansion_with_rebound,country_factor_use,M,factor_total_m,322,0.16984978610570903,0.00262972565738309,1.0,0.0
transmission,upstream_expansion_with_rebound,country_factor_use,M,labor_m,322,0.08413038710647745,0.0033928428248959667,1.0,0.0
transmission,upstream_expansion_with_rebound,country_factor_use,M,capital_m,322,0.08571939899923166,0.0021541891316271093,1.0,0.0
transmission,upstream_expansion_with_rebound,country_factor_use,M,virgin_material_factor_m,322,0.2568733535504985,0.00652367797745315,1.0,0.0
transmission,upstream_expansion_with_rebound,country_factor_use,C,factor_total_c,322,-0.43349864022890905,-0.0015229996436557673,0.18944099378881987,0.8105590062111802
transmission,upstream_expansion_with_rebound,country_factor_use,C,labor_c,322,-0.2182861986669534,-0.0012486519847328854,0.18944099378881987,0.8105590062111802
transmission,upstream_expansion_with_rebound,country_factor_use,C,capital_c,322,-0.215212441561953,-0.001959731303492483,0.18944099378881987,0.8105590062111802
transmission,upstream_expansion_with_rebound,country_factor_use,C,recycling_factor_c,322,0.19797934646348372,0.04006325763388882,0.8074534161490683,0.19254658385093168
transmission,upstream_expansion_with_rebound,country_factor_use,C,refurbishment_factor_c,322,3.3790022011207177,0.21407268751640351,1.0,0.0
transmission,upstream_expansion_with_rebound,country_factor_use,C,repair_factor_c,322,-0.5016921726855947,-0.032685081187479245,0.2329192546583851,0.7670807453416149
transmission,upstream_expansion_with_rebound,country_factor_use,C,reuse_factor_c,322,-0.22148784003197725,-0.021094919078332768,0.2515527950310559,0.7484472049689441
