strategy,sigma_eol,eta_service,count,dominant_transmission,dominant_share,material_saving_share,rebound_share,upstream_contraction_share,mean_pct_virgin_use,mean_pct_toaster_service,mean_upstream_output_reduction_m,mean_circular_activity_gain_c
virgin_material_tax,0.5,0.5,972,upstream_contraction_with_service_contraction,0.36728395061728397,0.5432098765432098,0.051440329218107,0.5432098765432098,-0.00015560794425761274,-0.012684799994475287,0.0062263820063772615,-0.45890063922533125
virgin_material_tax,0.5,1.0,950,upstream_contraction_with_service_contraction,0.38421052631578945,0.46421052631578946,0.0,0.46421052631578946,0.0017749864724676393,-0.04648812536740909,-0.06982207624157881,-2.7134480510793635
virgin_material_tax,0.5,1.5,972,upstream_contraction_with_service_contraction,0.6944444444444444,0.6944444444444444,0.0,0.6944444444444444,-0.07753824870770708,-0.09360993777979024,3.0797184511561437,-9.927964909325569
virgin_material_tax,2.0,0.5,972,upstream_contraction_with_service_contraction,0.36728395061728397,0.5432098765432098,0.051440329218107,0.5432098765432098,-0.0001556079442576128,-0.012684799994475287,0.0062263820063772615,-0.45890063922533136
virgin_material_tax,2.0,1.0,950,upstream_contraction_with_service_contraction,0.38421052631578945,0.46421052631578946,0.0,0.46421052631578946,0.0017749864724676395,-0.046488125367409074,-0.06982207624157881,-2.7134480510793635
virgin_material_tax,2.0,1.5,972,upstream_contraction_with_service_contraction,0.6944444444444444,0.6944444444444444,0.0,0.6944444444444444,-0.07753824870770708,-0.09360993777979022,3.0797184511561437,-9.927964909325567
virgin_material_tax,4.0,0.5,972,upstream_contraction_with_service_contraction,0.36728395061728397,0.5432098765432098,0.051440329218107,0.5432098765432098,-0.00015560794425761274,-0.012684799994475285,0.0062263820063772615,-0.45890063922533125
virgin_material_tax,4.0,1.0,950,upstream_contraction_with_service_contraction,0.38421052631578945,0.46421052631578946,0.0,0.46421052631578946,0.001774986472467639,-0.046488125367409074,-0.0698220762415788,-2.7134480510793635
virgin_material_tax,4.0,1.5,972,upstream_contraction_with_service_contraction,0.6944444444444444,0.6944444444444444,0.0,0.6944444444444444,-0.07753824870770708,-0.09360993777979024,3.079718451156144,-9.927964909325567
refurbishment_support,0.5,0.5,971,upstream_contraction_with_circular_expansion,0.3604531410916581,0.694129763130793,0.11122554067971163,0.694129763130793,-0.01581063182061462,-0.015073501553214765,0.6323598733144159,-0.0730655248683365
refurbishment_support,0.5,1.0,954,upstream_contraction_with_circular_expansion,0.4161425576519916,0.7316561844863732,0.05345911949685535,0.7316561844863732,-0.014800490714807686,-0.014510868400601163,0.5905884500255855,-0.01040469269281341
