strategy,side,family,component,count,median_delta,q25_delta,q75_delta,median_pct,q25_pct,q75_pct,expansion_share,contraction_share
virgin_material_tax,C,material,virgin_imports,4932,-4.301841926590555e-5,-3.823175312387386,-1.4433622979481697e-5,-1.075460477556564e-6,-0.09767939234800824,-3.6084058677362304e-7,0.0,1.0
virgin_material_tax,C,material,recycled_metal_output,4932,-0.07247631040719149,-2.5041742747568283,-5.542716818851545e-7,-0.004835760215924035,-0.17167744996251688,-3.6951446466726974e-8,0.2037712895377129,0.7925790754257908
virgin_material_tax,C,material,recycled_metal_use,4932,-0.07247631040719149,-2.5041742747568296,-5.542716818851545e-7,-0.004835760215924035,-0.17167744996251683,-3.6951446466726974e-8,0.2037712895377129,0.7925790754257908
virgin_material_tax,C,eol_allocation,recycling_share,4932,0.0,0.0,0.0,,,,0.0,0.0
virgin_material_tax,C,eol_allocation,refurbishment_share,4932,0.005657196054409008,0.001745042005472791,0.015104499493012187,,,,0.860705596107056,0.1386861313868613
virgin_material_tax,C,activity,new_production,4932,-5.931439677479204,-12.756161894505297,-3.6458029313104134,-0.05807993454607215,-0.12756162583711622,-0.03599450181112686,0.004866180048661801,0.9951338199513382
virgin_material_tax,C,activity,refurbishment,4932,-7.193118552351052e-6,-1.9967280814059007,-1.2882476507769525e-7,-2.297052986658743e-7,-0.053962691903283816,-4.294158947444758e-9,0.23114355231143552,0.7682481751824818
virgin_material_tax,C,activity,repair,4932,-3.37649957399816,-7.98189322439823,-0.5166738532883546,-0.1125500221984613,-0.26606318934018036,-0.017303950046672057,0.032846715328467155,0.9671532846715328
virgin_material_tax,C,activity,reuse,4932,-2.449264250969918e-6,-0.7571294603877305,-5.778875928896809e-7,-8.16421462019033e-8,-0.025237649510395338,-1.9262921499426815e-8,0.1964720194647202,0.8035279805352799
virgin_material_tax,C,service,toaster_service,4932,-9.828585513491248,-23.528353820683307,-4.279273743041124,-0.04964542051692768,-0.11764178350603084,-0.0219005053484322,0.0,1.0
virgin_material_tax,M,material,virgin_metal_output,4932,-4.3018419269458263e-5,-3.8231753123873933,-1.4433622974152627e-5,-1.0754604776453817e-6,-0.09767939234800821,-3.608405866403963e-7,0.0,1.0
virgin_material_tax,M,activity,virgin_metal_activity,4932,-4.3018419269458263e-5,-3.8231753123873933,-1.4433622974152627e-5,-1.0754604776453817e-6,-0.09767939234800821,-3.608405866403963e-7,0.0,1.0
virgin_material_tax,M,factor,total_factor_use,4932,-2.1509198639080296e-5,-1.8297102401468344,-7.2168901112945605e-6,-3.3091074630257816e-7,-0.028149388658050466,-1.1102907926033918e-7,0.0,1.0
virgin_material_tax,M,factor,virgin_metal_factor_use,4932,-3.226381138077272e-5,-2.851186194754236,-1.0825256781643589e-5,-8.065952790421197e-7,-0.07187750740114118,-2.706314253864347e-7,0.0,1.0
refurbishment_support,C,material,virgin_imports,2907,-0.41896537881651597,-0.9732597778923378,-2.26172709005823e-6,-0.010474134551443824,-0.024364658973577244,-5.654317946734091e-8,0.0,1.0
refurbishment_support,C,material,recycled_metal_output,2907,-0.450171149198626,-1.147568819256234,-0.0947846379834818,-0.030011416331489,-0.07650461292235125,-0.006472322379912793,0.21878224974200206,0.7812177502579979
refurbishment_support,C,material,recycled_metal_use,2907,-0.4501711491986278,-1.147568819256235,-0.0947846379834818,-0.030011416331488884,-0.0765046129223513,-0.006472322379912793,0.21878224974200206,0.7812177502579979
