strategy,delta_comparison_rows,delta_threshold_rows,delta_material_saving_share,delta_material_saving_without_rebound_share,delta_rebound_share,delta_mean_pct_virgin_use,delta_mean_pct_toaster_service,delta_mean_government_net,single_dominant_mechanism,two_country_dominant_mechanism,two_country_dominant_transmission,two_country_mean_upstream_output_reduction_m,two_country_mean_circular_activity_gain_c
virgin_material_tax,45,891,0.32250049388933466,0.32354252237144654,0.01623509660427378,-0.06399004687035985,-0.004553858865014158,-1.0925888355175317,service_contraction_material_increase,demand_contraction_material_saving,upstream_contraction_with_service_contraction,1.0135478249497136,-4.3793396550507495
refurbishment_support,93,187,0.07241424122851992,0.06567476517958099,-0.019652864339156986,-0.06418843015538608,-0.02990685770130748,2.17031664955938,circular_expansion_material_increase,circular_expansion_material_increase,upstream_expansion,0.1335296585241954,-6.235338236439246
recycling_support,64,1363,0.4372668188788704,0.4381937103167108,-0.018306105897346773,-0.0635840518399765,-0.008045611182484168,-0.0008030550635513833,service_contraction_material_increase,service_contraction_material_saving,upstream_contraction_with_service_contraction,0.1911994631307061,-13.252585731876586
