model,strategy,comparison_rows,threshold_rows,threshold_share_of_parameter_groups,material_saving_share,material_saving_without_rebound_share,rebound_share,mean_pct_virgin_use,mean_pct_toaster_service,mean_government_net,mean_support_cost,mean_virgin_saving_per_support_dollar,max_virgin_saving_per_support_dollar,dominant_mechanism,dominant_mechanism_count,dominant_mechanism_share,dominant_transmission,dominant_transmission_count,dominant_transmission_share,mean_upstream_output_reduction_m,mean_circular_activity_gain_c
single_country,virgin_material_tax,8637,882,0.40329218106995884,0.24557137895102465,0.2445293504689128,0.0010420284821118443,0.038477886705582574,-0.046407510939970184,9.137859888822243,4.51362372572276e-42,,,service_contraction_material_increase,2889,0.33449114275790204,,0,,,
single_country,refurbishment_support,8602,841,0.38454503886602653,0.26191583352708675,0.21460125552197162,0.1062543594512904,0.060863146431899384,-0.0346852723838566,-11.221388103796112,11.221388103796112,-0.13246819010539368,5.45286149840535,circular_expansion_material_increase,3673,0.4269937223901418,,0,,,
single_country,recycling_support,8631,146,0.06675811614083219,0.03070327887846136,0.029776387440621017,0.018306105897346773,0.05876638173551229,-0.05651629106772748,-4.566773144855065,4.566773144855065,-0.47220611048952155,27.601285699429933,service_contraction_material_increase,5017,0.5812767929556251,,0,,,
two_country,virgin_material_tax,8682,1773,0.8106995884773662,0.5680718728403593,0.5680718728403593,0.017277125086385625,-0.02551216016477727,-0.05096136980498434,8.045271053304711,2.740943669884759e-42,,,demand_contraction_material_saving,2859,0.32930200414651,upstream_contraction_with_service_contraction,4191,0.4827228749136144,1.0135478249497136,-4.3793396550507495
two_country,refurbishment_support,8695,1028,0.47005029721079106,0.33433007475560667,0.2802760207015526,0.08660149511213341,-0.0033252837234867007,-0.06459213008516408,-9.051071454236732,9.051071454236732,0.013318080356466956,0.13322505559220624,circular_expansion_material_increase,3318,0.38159861989649224,upstream_expansion,3318,0.38159861989649224,0.1335296585241954,-6.235338236439246
two_country,recycling_support,8695,1509,0.6899862825788752,0.4679700977573318,0.4679700977573318,0.0,-0.004817670104464208,-0.06456190225021165,-4.567576199918617,4.567576199918617,0.047053837736455634,0.536429434273134,service_contraction_material_saving,2288,0.263139735480161,upstream_contraction_with_service_contraction,3927,0.45163887291546867,0.1911994631307061,-13.252585731876586
