model,strategy,parameter,level,records,invalid_records,invalid_share,dominant_invalid_status,dominant_invalid_status_count,max_invalid_market_residual
single_country,recycling_support,sigma_routes,3.0,2916,41,0.014060356652949246,LOCALLY_INFEASIBLE,35,6.6948111114153335
single_country,recycling_support,sigma_metal,1.25,2916,13,0.004458161865569273,LOCALLY_INFEASIBLE,8,0.6788974569681159
single_country,recycling_support,sigma_metal,2.0,2916,18,0.006172839506172839,LOCALLY_INFEASIBLE,10,0.5920247405836108
single_country,recycling_support,sigma_metal,3.0,2916,33,0.01131687242798354,LOCALLY_INFEASIBLE,26,6.6948111114153335
single_country,recycling_support,sigma_eol,0.5,2916,26,0.008916323731138546,LOCALLY_INFEASIBLE,18,6.6948111114153335
single_country,recycling_support,sigma_eol,2.0,2916,23,0.007887517146776405,LOCALLY_INFEASIBLE,14,0.5920247405836108
single_country,recycling_support,sigma_eol,4.0,2916,15,0.0051440329218107,LOCALLY_INFEASIBLE,12,0.31913135887759836
single_country,recycling_support,eta_service,0.5,2916,0,0.0,none,0,0.0
single_country,recycling_support,eta_service,1.0,2916,62,0.021262002743484224,LOCALLY_INFEASIBLE,42,6.6948111114153335
single_country,recycling_support,eta_service,1.5,2916,2,0.0006858710562414266,LOCALLY_INFEASIBLE,2,2.0889956431346945e-10
single_country,recycling_support,metal_quality,0.75,2916,21,0.00720164609053498,LOCALLY_INFEASIBLE,13,0.6788974569681159
single_country,recycling_support,metal_quality,0.85,2916,21,0.00720164609053498,LOCALLY_INFEASIBLE,15,0.5920247405836108
single_country,recycling_support,metal_quality,0.95,2916,22,0.0075445816186556925,LOCALLY_INFEASIBLE,16,6.6948111114153335
single_country,recycling_support,metal_intensity_ref,0.15,2916,19,0.006515775034293553,LOCALLY_INFEASIBLE,16,0.42945237687342797
single_country,recycling_support,metal_intensity_ref,0.25,2916,23,0.007887517146776405,LOCALLY_INFEASIBLE,16,6.6948111114153335
single_country,recycling_support,metal_intensity_ref,0.35,2916,22,0.0075445816186556925,LOCALLY_INFEASIBLE,12,0.6788974569681159
single_country,recycling_support,yield_ref,3.0,2916,16,0.0054869684499314125,LOCALLY_INFEASIBLE,11,0.6788974569681159
single_country,recycling_support,yield_ref,4.0,2916,21,0.00720164609053498,LOCALLY_INFEASIBLE,16,6.6948111114153335
single_country,recycling_support,yield_ref,5.0,2916,27,0.009259259259259259,LOCALLY_INFEASIBLE,17,0.31913135887759836
two_country,virgin_material_tax,sigma_routes,1.25,2916,0,0.0,none,0,0.0
two_country,virgin_material_tax,sigma_routes,2.0,2916,6,0.00205761316872428,LOCALLY_INFEASIBLE,6,5.684341886080802e-14
two_country,virgin_material_tax,sigma_routes,3.0,2916,33,0.01131687242798354,LOCALLY_INFEASIBLE,33,6.821210263296962e-13
two_country,virgin_material_tax,sigma_metal,1.25,2916,0,0.0,none,0,0.0
two_country,virgin_material_tax,sigma_metal,2.0,2916,9,0.0030864197530864196,LOCALLY_INFEASIBLE,9,5.684341886080802e-14
two_country,virgin_material_tax,sigma_metal,3.0,2916,30,0.0102880658436214,LOCALLY_INFEASIBLE,30,6.821210263296962e-13
two_country,virgin_material_tax,sigma_eol,0.5,2916,13,0.004458161865569273,LOCALLY_INFEASIBLE,13,6.821210263296962e-13
two_country,virgin_material_tax,sigma_eol,2.0,2916,13,0.004458161865569273,LOCALLY_INFEASIBLE,13,6.821210263296962e-13
two_country,virgin_material_tax,sigma_eol,4.0,2916,13,0.004458161865569273,LOCALLY_INFEASIBLE,13,6.821210263296962e-13
two_country,virgin_material_tax,eta_service,0.5,2916,0,0.0,none,0,0.0
two_country,virgin_material_tax,eta_service,1.0,2916,39,0.013374485596707819,LOCALLY_INFEASIBLE,39,6.821210263296962e-13
two_country,virgin_material_tax,eta_service,1.5,2916,0,0.0,none,0,0.0
two_country,virgin_material_tax,metal_quality,0.75,2916,15,0.0051440329218107,LOCALLY_INFEASIBLE,15,5.684341886080802e-14
