strategy,dimension,factor,activity,component,dominant_direction,dominant_direction_share,expansion_share,contraction_share,mean_delta_factor_use,mean_pct_factor_use,mean_delta_factor_allocation_share,count
recycling_support,factor_use,LAB,TOTAL,labor_total,contraction,0.7413972888425443,0.007183408643262658,0.7413972888425443,-0.3278133340124941,-0.0016402815952272548,,8631
recycling_support,factor_use,CAP,TOTAL,capital_total,contraction,0.7412814274128142,0.007415131502722744,0.7412814274128142,-0.29212984041919576,-0.0019493386581294527,,8631
recycling_support,factor_use,LAB,BRD,labor_bread,contraction,0.4416637701309234,0.3070327887846136,0.4416637701309234,-0.3731096311158549,-0.0028722071586286774,-0.0008873256677680948,8631
recycling_support,factor_use,LAB,VMTL,labor_virgin_material,expansion,0.7447572703047156,0.7447572703047156,0.003939288610821458,1.162013626285507,0.11335998845809545,0.005932318801644348,8631
recycling_support,factor_use,LAB,RMTL,labor_recycled_material,expansion,0.7475379446182366,0.7475379446182366,0.0011586142973004287,0.42644306546698124,0.13829825453066824,0.00217159328424173,8631
recycling_support,factor_use,LAB,NEW,labor_new_production,expansion,0.6250724133935813,0.6250724133935813,0.12362414552195575,2.106006992975253,0.06828970419955038,0.010845973017028498,8631
recycling_support,factor_use,LAB,REF,labor_refurbishment,contraction,0.5388715096744294,0.20982504924110765,0.5388715096744294,-1.2394022224464583,-0.0948170539948933,-0.006119527347283896,8631
recycling_support,factor_use,LAB,REP,labor_repair,contraction,0.7476538060479666,0.0010427528675703858,0.7476538060479666,-1.6128249860808463,-0.13294079524447863,-0.008000229001471139,8631
recycling_support,factor_use,LAB,REU,labor_reuse,contraction,0.7449889931641757,0.003707565751361372,0.7449889931641757,-0.7969401790970757,-0.11265103893673016,-0.003942803086391448,8631
recycling_support,factor_use,CAP,BRD,capital_bread,contraction,0.6736183524504692,0.07507820646506778,0.6736183524504692,-2.282393310128734,-0.029520627031027848,-0.014326155352828471,8631
recycling_support,factor_use,CAP,VMTL,capital_virgin_material,expansion,0.7154443285830148,0.7154443285830148,0.0332522303325223,1.5593659682417844,0.05179176280125302,0.010865887874929035,8631
recycling_support,factor_use,CAP,RMTL,capital_recycled_material,expansion,0.7469586374695864,0.7469586374695864,0.001737921445950643,0.2882692684825955,0.13842641760725324,0.001961834047094873,8631
recycling_support,factor_use,CAP,NEW,capital_new_production,expansion,0.4522071602363573,0.4522071602363573,0.2964893986791797,0.9110159342672416,0.029758232315779287,0.00650732345279245,8631
