strategy,dimension,factor,activity,component,count,mean_delta_factor_use,mean_pct_factor_use,mean_delta_factor_allocation_share,expansion_share,contraction_share
recycling_support,factor_use,LAB,TOTAL,labor_total,8631,-0.3278133340124941,-0.0016402815952272548,,0.007183408643262658,0.7413972888425443
recycling_support,factor_use,CAP,TOTAL,capital_total,8631,-0.29212984041919576,-0.0019493386581294527,,0.007415131502722744,0.7412814274128142
recycling_support,factor_use,LAB,BRD,labor_bread,8631,-0.3731096311158549,-0.0028722071586286774,-0.0008873256677680948,0.3070327887846136,0.4416637701309234
recycling_support,factor_use,LAB,VMTL,labor_virgin_material,8631,1.162013626285507,0.11335998845809545,0.005932318801644348,0.7447572703047156,0.003939288610821458
recycling_support,factor_use,LAB,RMTL,labor_recycled_material,8631,0.42644306546698124,0.13829825453066824,0.00217159328424173,0.7475379446182366,0.0011586142973004287
recycling_support,factor_use,LAB,NEW,labor_new_production,8631,2.106006992975253,0.06828970419955038,0.010845973017028498,0.6250724133935813,0.12362414552195575
recycling_support,factor_use,LAB,REF,labor_refurbishment,8631,-1.2394022224464583,-0.0948170539948933,-0.006119527347283896,0.20982504924110765,0.5388715096744294
recycling_support,factor_use,LAB,REP,labor_repair,8631,-1.6128249860808463,-0.13294079524447863,-0.008000229001471139,0.0010427528675703858,0.7476538060479666
recycling_support,factor_use,LAB,REU,labor_reuse,8631,-0.7969401790970757,-0.11265103893673016,-0.003942803086391448,0.003707565751361372,0.7449889931641757
recycling_support,factor_use,CAP,BRD,capital_bread,8631,-2.282393310128734,-0.029520627031027848,-0.014326155352828471,0.07507820646506778,0.6736183524504692
recycling_support,factor_use,CAP,VMTL,capital_virgin_material,8631,1.5593659682417844,0.05179176280125302,0.010865887874929035,0.7154443285830148,0.0332522303325223
recycling_support,factor_use,CAP,RMTL,capital_recycled_material,8631,0.2882692684825955,0.13842641760725324,0.001961834047094873,0.7469586374695864,0.001737921445950643
recycling_support,factor_use,CAP,NEW,capital_new_production,8631,0.9110159342672416,0.029758232315779287,0.00650732345279245,0.4522071602363573,0.2964893986791797
recycling_support,factor_use,CAP,REF,capital_refurbishment,8631,-0.29970089648514275,-0.06824770178068305,-0.001950911741988656,0.29509906152241916,0.45359749739311783
recycling_support,factor_use,CAP,REP,capital_repair,8631,-0.2357662043630904,-0.07632891659625707,-0.001538501428024791,0.23137527517089562,0.5173212837446414
recycling_support,factor_use,CAP,REU,capital_reuse,8631,-0.23292060043385118,-0.0756074681375819,-0.001519476851974448,0.21712431931410034,0.5315722396014367
refurbishment_support,factor_use,LAB,TOTAL,labor_total,8602,-0.5129695005240744,-0.0025663058431283133,,0.014996512438967682,0.7328528249244362
refurbishment_support,factor_use,CAP,TOTAL,capital_total,8602,-0.49269666489470837,-0.003287147328873788,,0.015112764473378284,0.7327365728900256
refurbishment_support,factor_use,LAB,BRD,labor_bread,8602,-2.376618220923845,-0.018972646127498393,-0.010357788883728928,0.035340618460823064,0.7125087189025808
refurbishment_support,factor_use,LAB,VMTL,labor_virgin_material,8602,1.1616518812386203,0.11467079383091636,0.005970598218085316,0.7137874912810974,0.03406184608230644
refurbishment_support,factor_use,LAB,RMTL,labor_recycled_material,8602,0.03101984187227652,0.010937604923015768,0.0001977171250707053,0.45082538944431527,0.2970239479190886
refurbishment_support,factor_use,LAB,NEW,labor_new_production,8602,-1.0259082110615352,-0.032434250563538894,-0.004759360020784194,0.0370843989769821,0.7107649383864217
refurbishment_support,factor_use,LAB,REF,labor_refurbishment,8602,4.056700263268769,0.3150054072332518,0.020554972700963067,0.7335503371308998,0.014299000232504069
refurbishment_support,factor_use,LAB,REP,labor_repair,8602,-1.6376659316193019,-0.13515441377514795,-0.008070320391157532,0.004417577307602883,0.743431760055801
refurbishment_support,factor_use,LAB,REU,labor_reuse,8602,-0.7221491232990568,-0.10190290636475294,-0.0035358187484484313,0.22785398744478028,0.5199953499186236
refurbishment_support,factor_use,CAP,BRD,capital_bread,8602,-2.4350581830217894,-0.031167759398742157,-0.014653995028408228,0.030574285049988374,0.7172750523134155
refurbishment_support,factor_use,CAP,VMTL,capital_virgin_material,8602,1.819742947463709,0.060731075220528494,0.012869060151189157,0.4936061381074169,0.254243199255987
refurbishment_support,factor_use,CAP,RMTL,capital_recycled_material,8602,0.15671824425980058,0.07720319532085267,0.0011007107100508178,0.5424319925598698,0.20541734480353407
refurbishment_support,factor_use,CAP,NEW,capital_new_production,8602,-1.4557498062212555,-0.047379144308562396,-0.009096509601953334,0.008021390374331552,0.7398279469890723
refurbishment_support,factor_use,CAP,REF,capital_refurbishment,8602,1.5411235299719566,0.3509025850316397,0.010439088966656863,0.7450592885375494,0.0027900488258544524
refurbishment_support,factor_use,CAP,REP,capital_repair,8602,-0.06395670333099765,-0.020240208975277035,-0.00035709909122042227,0.4081608928156243,0.3396884445477796
refurbishment_support,factor_use,CAP,REU,capital_reuse,8602,-0.055516694016131754,-0.017378333371958585,-0.00030125610631485977,0.42710997442455245,0.3207393629388514
virgin_material_tax,factor_use,LAB,TOTAL,labor_total,8637,0.04533207904110495,0.00022736786270697044,,0.35533171240013894,0.3935394234109066
